bank_id,node_id,node_name,node_type,upstream_downstream,sustainability_theme,climate_exposure_type,materiality_flag,climate_risk_description,financial_exposure_meur,nace_link,ifrs_s2_para_evidence,scope3_category
BANK01,VC-BANK01-0001,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,§13(a),
BANK01,VC-BANK01-0002,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,§13(a),Cat.6
BANK01,VC-BANK01-0003,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,§13(a),Cat.7
BANK01,VC-BANK01-0004,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,223.85,J62,§13(a),Cat.1
BANK01,VC-BANK01-0005,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,445.41,L68,§13(a),Cat.2
BANK01,VC-BANK01-0006,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,120.73,M70,§13(a),Cat.1
BANK01,VC-BANK01-0007,Corporate borrowers — Manufacture of coke and refined petroleum,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of coke and refined petroleum carries elevated transition risk from carbon pricing and demand shifts.,3903.65,C19,§13(a),Cat.15
BANK01,VC-BANK01-0008,Corporate borrowers — Manufacture of motor vehicles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of motor vehicles subject to moderate physical and transition risk.,3871.6,C29,§13(a),Cat.15
BANK01,VC-BANK01-0009,Corporate borrowers — Mining of coal and lignite,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Mining of coal and lignite carries elevated transition risk from carbon pricing and demand shifts.,3547.58,B05,§13(a),Cat.15
BANK01,VC-BANK01-0010,Corporate borrowers — Education,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Education subject to moderate physical and transition risk.,2962.25,P85,§13(a),Cat.15
BANK01,VC-BANK01-0011,Corporate borrowers — Mining of metal ores,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Mining of metal ores carries elevated transition risk from carbon pricing and demand shifts.,2749.58,B07,§13(a),Cat.15
BANK01,VC-BANK01-0012,Corporate borrowers — Other mining and quarrying,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Other mining and quarrying carries elevated transition risk from carbon pricing and demand shifts.,2102.44,B08,§13(a),Cat.15
BANK01,VC-BANK01-0013,Corporate borrowers — Manufacture of electrical equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of electrical equipment subject to moderate physical and transition risk.,1827.09,C27,§13(a),Cat.15
BANK01,VC-BANK01-0014,Corporate borrowers — Manufacture of food products,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of food products subject to moderate physical and transition risk.,1765.5,C10,§13(a),Cat.15
BANK01,VC-BANK01-0015,Corporate borrowers — Civil engineering,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Civil engineering subject to moderate physical and transition risk.,1709.19,F42,§13(a),Cat.15
BANK01,VC-BANK01-0016,Corporate borrowers — Air transport,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Air transport carries elevated transition risk from carbon pricing and demand shifts.,1548.11,H51,§13(a),Cat.15
